tmin,cc,site_id,filt_width,hemisphere,group,tmax,enumber,depth,region
18.350081468,0.724401784466,2,13.1072010486,R,CMM,31.4572825166,22,1450,CMM
18.350081468,0.439586681652,2,13.1072010486,R,CMM,31.4572825166,23,1450,CMM
18.350081468,0.419803813131,2,13.1072010486,R,CMM,31.4572825166,24,1450,CMM
18.350081468,0.438177879474,2,13.1072010486,R,CML,31.4572825166,25,1450,CML
20.9715216777,0.556440490008,2,10.4857608389,R,L1/L3,31.4572825166,26,1450,L1-CML
18.350081468,0.49137965808,2,13.1072010486,R,CML,31.4572825166,27,1450,CML
15.7286412583,0.679305858817,2,15.7286412583,R,L1/L3,31.4572825166,28,1450,L1-CML
18.350081468,0.614592389535,2,13.1072010486,R,L1/L3,31.4572825166,29,1450,L3-L2A
18.350081468,0.657847562897,2,13.1072010486,R,L1/L3,31.4572825166,30,1450,L3-L2B
18.350081468,0.441032390672,2,5.24288041943,R,NCM,23.5929618874,31,1450,NCM
18.350081468,0.381662515635,2,5.24288041943,R,NCM,23.5929618874,32,1450,NCM
23.5929618874,0.4769284596,3,31.4572825166,L,HP,55.050244404,1,1250,HP-CMM
18.350081468,0.425913371238,3,10.4857608389,L,CMM,28.8358423069,2,1250,CMM
18.350081468,0.386395589183,3,10.4857608389,L,L1/L3,28.8358423069,3,1250,L1
18.350081468,0.341692171519,3,5.24288041943,L,NCM,23.5929618874,4,1250,NCM
15.7286412583,0.429257710712,3,7.86432062915,L,NCM,23.5929618874,5,1250,NCM-HP
15.7286412583,0.328433395808,3,7.86432062915,L,NCM,23.5929618874,6,1250,NCM-HP
15.7286412583,0.406535597094,3,7.86432062915,L,NCM,23.5929618874,7,1250,NCM
15.7286412583,0.418722246908,3,7.86432062915,L,NCM,23.5929618874,8,1250,NCM
15.7286412583,0.332737107116,3,7.86432062915,L,NCM,23.5929618874,9,1250,NCM
15.7286412583,0.417068765425,3,7.86432062915,L,NCM,23.5929618874,10,1250,NCM
15.7286412583,0.376305501634,3,7.86432062915,L,L2,23.5929618874,11,1250,L2B
18.350081468,0.407064834383,3,5.24288041943,L,L2,23.5929618874,12,1250,L
18.350081468,0.464217156821,3,10.4857608389,L,L2,28.8358423069,13,1250,L2A
18.350081468,0.49224280374,3,10.4857608389,L,L2,28.8358423069,14,1250,L2A
18.350081468,0.608544769037,3,13.1072010486,L,L1/L3,31.4572825166,15,1250,L1
18.350081468,0.657290259585,3,13.1072010486,L,CML,31.4572825166,16,1250,CML
18.350081468,0.432785283481,3,7.86432062915,R,NCM,26.2144020972,17,1650,NCM
18.350081468,0.359406176171,3,5.24288041943,R,NCM,23.5929618874,18,1650,NCM
18.350081468,0.221699320839,3,5.24288041943,R,L2,23.5929618874,19,1650,L2A
18.350081468,0.312609098857,3,23.5929618874,R,NCM,41.9430433554,20,1650,NCM-L
18.350081468,0.678623417656,3,15.7286412583,R,L1/L3,34.0787227263,21,1650,L1
18.350081468,0.7425480287,3,15.7286412583,R,CMM,34.0787227263,22,1650,CMM
18.350081468,0.546024585755,3,15.7286412583,R,CMM,34.0787227263,23,1650,CMM
20.9715216777,0.559921894674,3,20.9715216777,R,CMM,41.9430433554,24,1650,CMM
20.9715216777,0.486036492511,3,13.1072010486,R,CML,34.0787227263,25,1650,CML-L1
20.9715216777,0.564259346679,3,10.4857608389,R,L1/L3,31.4572825166,26,1650,L1
20.9715216777,0.480858097211,3,10.4857608389,R,CML,31.4572825166,27,1650,CML-L1
18.350081468,0.65381341844,3,15.7286412583,R,L1/L3,34.0787227263,28,1650,L1
18.350081468,0.587834604843,3,15.7286412583,R,L1/L3,34.0787227263,29,1650,L3-L2A
18.350081468,0.559539556359,3,15.7286412583,R,L1/L3,34.0787227263,30,1650,L3
18.350081468,0.437266026064,3,7.86432062915,R,NCM,26.2144020972,31,1650,NCM
18.350081468,0.408766830436,3,7.86432062915,R,NCM,26.2144020972,32,1650,NCM
23.5929618874,0.557798629972,4,13.1072010486,L,CMM,36.700162936,1,1500,CMM
18.350081468,0.424233722586,4,7.86432062915,L,CMM,26.2144020972,2,1500,CMM
18.350081468,0.456563150709,4,5.24288041943,L,NCM,23.5929618874,3,1500,NCM
15.7286412583,0.511069081689,4,7.86432062915,L,NCM,23.5929618874,4,1500,NCM
18.350081468,0.490151276007,4,5.24288041943,L,NCM,23.5929618874,5,1500,NCM
18.350081468,0.471416920438,4,5.24288041943,L,NCM,23.5929618874,6,1500,NCM
18.350081468,0.494661973934,4,5.24288041943,L,HP,23.5929618874,7,1500,HP-NCM
18.350081468,0.439657436849,4,5.24288041943,L,NCM,23.5929618874,8,1500,NCM
15.7286412583,0.376100667787,4,7.86432062915,L,NCM,23.5929618874,9,1500,NCM
18.350081468,0.468431251757,4,5.24288041943,L,NCM,23.5929618874,10,1500,NCM
18.350081468,0.483681837252,4,5.24288041943,L,NCM,23.5929618874,11,1500,NCM
18.350081468,0.481563248095,4,10.4857608389,L,L2,28.8358423069,12,1500,L
18.350081468,0.471160750344,4,10.4857608389,L,L2,28.8358423069,13,1500,L
18.350081468,0.542101722114,4,10.4857608389,L,L2,28.8358423069,14,1500,L2A
18.350081468,0.681878453217,4,13.1072010486,L,L2,31.4572825166,15,1500,L2A
15.7286412583,0.741368295089,4,15.7286412583,L,CML,31.4572825166,16,1500,CML-L1
18.350081468,0.488083456589,4,7.86432062915,R,NCM,26.2144020972,17,1900,NCM
18.350081468,0.391560302009,4,7.86432062915,R,NCM,26.2144020972,18,1900,NCM
18.350081468,0.245980112875,4,5.24288041943,R,L2,23.5929618874,19,1900,L2A
18.350081468,0.175389884089,4,10.4857608389,R,NCM,28.8358423069,20,1900,NCM-L
18.350081468,0.706135962195,4,18.350081468,R,L2,36.700162936,21,1900,L2A
18.350081468,0.75637351724,4,15.7286412583,R,CMM,34.0787227263,22,1900,CMM
18.350081468,0.589292438588,4,15.7286412583,R,L1/L3,34.0787227263,23,1900,L1-CMM
20.9715216777,0.595612048459,4,13.1072010486,R,CMM,34.0787227263,24,1900,CMM
20.9715216777,0.513199213632,4,15.7286412583,R,L1/L3,36.700162936,25,1900,L1
18.350081468,0.609541820593,4,15.7286412583,R,L1/L3,34.0787227263,26,1900,L1
20.9715216777,0.52292359398,4,15.7286412583,R,L1/L3,36.700162936,27,1900,L1
18.350081468,0.672524412532,4,15.7286412583,R,L1/L3,34.0787227263,28,1900,L1
18.350081468,0.598260306312,4,15.7286412583,R,L1/L3,34.0787227263,29,1900,L3
18.350081468,0.56573703066,4,10.4857608389,R,NCM,28.8358423069,30,1900,NCM-L3
18.350081468,0.503601117138,4,7.86432062915,R,NCM,26.2144020972,31,1900,NCM
18.350081468,0.456079351623,4,7.86432062915,R,NCM,26.2144020972,32,1900,NCM
